,0,1,2
0,consensus independent component 102_s2,consensus independent component 69_s1,consensus independent component 127_big
1,consensus independent component 37_s2,consensus independent component 81_s1,consensus independent component 108_big
2,consensus independent component 27_s2,consensus independent component 36_s1,consensus independent component 7_big
3,consensus independent component 121_s2,consensus independent component 142_s1,consensus independent component 112_big
4,consensus independent component 42_s2,consensus independent component 35_s1,consensus independent component 16_big
5,consensus independent component 156_s2,consensus independent component 138_s1,consensus independent component 38_big
6,consensus independent component 65_s2,consensus independent component 141_s1,consensus independent component 12_big
7,consensus independent component 105_s2,consensus independent component 45_s1,consensus independent component 98_big
8,consensus independent component 85_s2,consensus independent component 121_s1,consensus independent component 95_big
9,consensus independent component 17_s2,consensus independent component 22_s1,consensus independent component 5_big
10,consensus independent component 122_s2,consensus independent component 47_s1,consensus independent component 100_big
11,consensus independent component 26_s2,consensus independent component 77_s1,consensus independent component 75_big
12,consensus independent component 70_s2,consensus independent component 38_s1,consensus independent component 92_big
13,consensus independent component 175_s2,consensus independent component 20_s1,consensus independent component 68_big
14,consensus independent component 60_s2,consensus independent component 32_s1,consensus independent component 56_big
15,consensus independent component 134_s2,consensus independent component 82_s1,consensus independent component 105_big
16,consensus independent component 133_s2,consensus independent component 25_s1,consensus independent component 87_big
17,consensus independent component 21_s2,consensus independent component 9_s1,consensus independent component 20_big
18,consensus independent component 2_s2,consensus independent component 28_s1,consensus independent component 48_big
19,consensus independent component 82_s2,consensus independent component 44_s1,consensus independent component 25_big
20,consensus independent component 48_s2,consensus independent component 8_s1,consensus independent component 2_big
21,consensus independent component 24_s2,consensus independent component 55_s1,consensus independent component 8_big
22,consensus independent component 87_s2,consensus independent component 85_s1,consensus independent component 61_big
23,consensus independent component 120_s2,consensus independent component 83_s1,consensus independent component 51_big
24,consensus independent component 101_s2,consensus independent component 102_s1,consensus independent component 43_big
25,consensus independent component 76_s2,consensus independent component 42_s1,consensus independent component 60_big
26,consensus independent component 10_s2,consensus independent component 84_s1,consensus independent component 89_big
27,consensus independent component 92_s2,consensus independent component 56_s1,consensus independent component 136_big
28,consensus independent component 154_s2,consensus independent component 49_s1,consensus independent component 137_big
29,consensus independent component 25_s2,consensus independent component 7_s1,consensus independent component 55_big
30,consensus independent component 22_s2,consensus independent component 24_s1,consensus independent component 4_big
31,consensus independent component 69_s2,consensus independent component 40_s1,consensus independent component 15_big
32,consensus independent component 16_s2,consensus independent component 31_s1,consensus independent component 31_big
33,consensus independent component 19_s2,consensus independent component 16_s1,consensus independent component 1_big
34,consensus independent component 150_s2,consensus independent component 50_s1,consensus independent component 159_big
35,consensus independent component 162_s2,consensus independent component 1_s1,consensus independent component 143_big
36,consensus independent component 57_s2,consensus independent component 98_s1,consensus independent component 72_big
37,consensus independent component 28_s2,consensus independent component 64_s1,consensus independent component 50_big
38,consensus independent component 46_s2,consensus independent component 60_s1,consensus independent component 79_big
39,consensus independent component 86_s2,consensus independent component 10_s1,consensus independent component 54_big
40,consensus independent component 142_s2,consensus independent component 18_s1,consensus independent component 135_big
41,consensus independent component 49_s2,consensus independent component 3_s1,consensus independent component 111_big
